YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.6812065485534873,430.9311627254228,24.456664702465098,10.34266237668456,1.0,0.0308641975308642,0.1497005988023951,0.0,0.0,0.0,0.0,1.5764688958663595,0.166139010516689
1988,0.6969919199591414,449.2959178486097,24.40224598457244,9.95715394839732,0.9500747816442774,0.029940119760479,0.1559633027522936,33.96431550524497,7.103341320099816,13.575594573693644,19.669934113163716,1.4491410800843127,0.2170206620639486
1989,0.6988920989159533,450.1606039360193,24.679330106925757,10.31781697498738,0.9038180442807321,0.028735632183908,0.1531531531531532,34.283670837185376,7.178268330817997,13.914562510660767,20.440131906642847,1.51025087951404,0.197594768349723
1990,0.769279805958082,401.95499119939655,25.28010851821449,10.961660900559789,0.8561909623063513,0.032967032967033,0.1477272727272727,34.413162200103656,7.416230727926704,14.294199455741696,21.457254102049724,1.6024594786466069,0.2194647472800103
1991,0.7733717220449771,374.25965339008815,25.519910391556376,11.63551258516939,0.8190151382042606,0.0326086956521739,0.1487603305785123,33.963805763647045,7.494807939594248,14.665916110021357,22.22893860097935,1.4721890470276822,0.209891084405397
1992,0.7284915325109764,420.6489587823476,26.514305309039674,12.070066421672092,0.7703925033557711,0.0309278350515465,0.1498637602179836,34.11973391205131,8.044696533237781,15.02124535004534,23.8212912879118,1.535793268132359,0.2284746112614181
1993,0.6642865124594927,464.12817795072084,27.18642058790781,13.575793000687131,0.7267644146752844,0.0294117647058824,0.1443037974683545,33.68864157782006,7.987162040433625,15.368151820724673,24.330482782290098,1.5946354909731555,0.2378623723660095
1994,0.6270804438280166,532.3841746868914,27.87722824611612,15.60506506773477,0.6952151400738843,0.0321100917431191,0.1425287356321839,33.61259399193164,8.070809443761485,15.73355161080262,25.063625157919375,1.5805956138734316,0.2196486278340507
1995,0.6390771712206456,545.0153160679477,28.835166655430747,18.67720665922043,0.6535027182946822,0.0305676855895196,0.1411290322580645,33.52899231174126,8.134647739644851,15.94775903165218,25.87422305655554,1.5822372899615478,0.2307600374972863
1996,0.616454980869533,543.3880737833811,30.05558165664246,21.65574716943386,0.6064656149242227,0.0288065843621398,0.1420664206642067,33.65472980382481,8.451656979939182,16.443454233873318,26.867887203756684,1.3784111189009804,0.2401308057601028
1997,0.5693701736374592,579.2795214732173,32.108842371836886,24.61337108983495,0.5662120458808116,0.0300751879699248,0.1423670668953687,34.234670319661284,9.044490303184421,17.101564507104406,28.15432164946787,1.7894035897174465,0.2492979875631582
1998,0.5828616644193426,595.1257443641003,33.36162160916092,28.62872358690179,0.5180442033154055,0.0313588850174215,0.139937106918239,33.241037153484,8.924131856280683,17.464822946506917,28.491020478526746,1.7269550879265372,0.3514059494958014
1999,0.5763309219068818,659.3634897956509,35.00831023374633,32.12405344721776,0.47066116806736263,0.0292207792207791,0.1409495548961424,33.64687935197455,9.395929530827846,18.15672684226829,29.547260007661425,1.6963796512857263,0.3787882801332528
2000,0.5894601336756439,618.1310160085106,36.90493390292359,35.37543448627058,0.4317115486378693,0.03003003003003,0.1426553672316384,33.69700424721311,9.878299114059102,18.821699279694982,30.648116472497357,1.7261027742249224,0.2736991594467416
2001,0.5926474354869693,574.406507733574,38.39357341026159,38.607276637752754,0.3940239666395768,0.0309859154929578,0.1432469304229194,32.89537953079369,10.139797541785422,19.289246318175923,31.579046662468322,1.486191129353679,0.2707346042741066
2002,0.5515226812205114,588.2960604265403,39.60630745828326,42.50312153354186,0.36386810052785795,0.0294906166219839,0.1415465268676277,32.43625331660821,10.180558388169207,19.66536461325689,32.185809188753616,1.5378146945385032,0.3132707322249602
2003,0.5329858806597875,590.5191299822076,40.17442770977985,47.356435913885704,0.3321637621864851,0.031496062992126,0.1403726708074534,31.780311085061722,9.900810768250288,19.865662733964673,32.400095588162145,1.7398048373218955,0.2889032390843466
2004,0.5501020730900831,598.1894692174404,40.539482261096325,50.64869909356882,0.3118898269439929,0.0290556900726393,0.1411625148279953,31.54344209023982,10.20926089769501,20.293244157110507,33.500597743808434,1.592409030206571,0.2865164179110829
2005,0.5566950393219989,597.0936810706409,40.60430177218867,54.22159817887049,0.2920120745007541,0.0294117647058822,0.1418842224744608,30.971229931972175,10.098318807459963,20.347170900699602,34.20211461207122,1.7125860917654134,0.3227769518358132
2006,0.5697254550880334,582.3028569528054,40.71216885617554,57.53839243388298,0.27154907496304725,0.0301075268817203,0.1420704845814978,30.73187531818466,10.171023358949123,20.45749794539421,35.178212186486846,1.5491135216364411,0.3364143753214695
2007,0.5845560586908172,553.5385047172865,41.19048232487678,60.12821577431723,0.2547452457378451,0.0306748466257669,0.1427027027027027,30.599971007070323,10.52693315110784,20.64717192695701,36.58443872678702,1.7555697321909784,0.296254183981121
2008,0.7128752324448774,449.91686347605986,41.634419795387245,63.09649331104356,0.23574145354812562,0.0303605313092979,0.1422594142259413,29.9423605524768,10.59062812133021,20.66838079728013,37.62508214639367,2.0749288135707555,0.454046900278418
2009,0.7849622171519478,360.373804236869,41.44627524398361,62.98676555441093,0.22838324480601288,0.0323232323232323,0.1453362255965293,28.439464537384005,11.246629175714828,20.90388369320755,39.656303949137644,1.9743231221976865,0.4509941878781278
2010,0.554090422836552,451.942555271313,42.09582688558442,67.74907872945708,0.20973249811306424,0.032,0.1407407407407407,28.620332658660708,10.566466373982466,20.4244784402294,39.73232316122974,1.9245892474540525,0.3695294174104759
2011,0.5136438440047457,508.14274508205904,42.73865237323799,73.87277498805362,0.19869040305986455,0.0307101727447217,0.1402623612512614,28.556354739197513,10.281053652045669,20.492397922678574,40.020948403628786,2.002595873472457,0.3170692141768613
2012,0.493538690116269,513.8411384113841,45.31767848209155,84.24613304822026,0.18864892110924922,0.0309090909090909,0.1384180790960452,30.41267254749543,9.996707509793191,20.53783568763294,40.10754454361802,1.8046837594982743,0.293312784895733
2013,0.4844349125885487,555.9205094940442,47.07069284388822,96.26351606809529,0.17942470361884144,0.0307167235494879,0.1382042253521127,29.814615452435376,9.448766665934075,20.743907545026868,39.6745340075916,1.988828082321788,0.2695007069269272
2014,0.489902147629773,606.7622456560122,48.00197884983347,109.14165663284669,0.16940040437319334,0.0314569536423841,0.138157894736842,29.748089218086438,8.777575095722232,20.9685516195588,39.01813381187661,1.6885454070067896,0.3464809777568464
2015,0.4795957414822812,645.7789664724424,49.31046323734764,119.30127591869544,0.1606264510913028,0.0304487179487179,0.1400159108989658,30.50761555206035,9.243383639165177,21.562266584211727,40.091173650054046,2.099185799048257,0.3052916689869406
2016,0.4676357087728325,649.1322810369123,49.72862272745506,122.44362356332059,0.15057231044144603,0.0317965023847376,0.1423999999999999,28.90355579123973,10.568232416428225,22.237654945334125,42.87849691295337,1.846494503163724,0.30333643830713
2017,0.4790813331902781,657.6776001930538,51.11026883752293,126.56644315900425,0.1425409382901312,0.0300751879699248,0.1410459587955626,28.995750159285453,10.862309143105708,22.26209773430348,44.24730555286632,1.8406079242568167,0.3707090099418224
2018,0.5076352572026244,654.6833217001912,52.99535089147976,135.0880599023514,0.13499655825412618,0.030513176144244,0.1374335611237661,29.034434498901817,10.28343064572341,22.08152097301475,44.12435196523906,2.101486574486197,0.4125671870182301
