YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO,L_S_raw,L_U_raw,L_S_iv,L_U_iv
1987,0.8248335967054542,56.008350291207634,10460.26104423816,6.8716416705198,1.0,0.0203148806500761,0.0721311475409836,0.0,0.0,0.0,0.0,1.1788496262663704,0.1357982271818937,0.0,0.0,0.0,0.0
1988,0.7428381711250237,57.08742141562029,10242.609845148516,6.90375747334784,0.9500747816442774,0.021180030257186,0.073482428115016,37.79749634005629,3.9553068891225642,15.035878172353026,15.268375722673099,1.0869014493576077,0.1231102432048903,3.95530688916414,37.797496339882485,3.9553068891225642,37.79749634005629
1989,0.826331884757766,55.749947008853596,10029.403293227124,7.12353167279908,0.9038180442807321,0.0212136161815491,0.074074074074074,38.02706088209555,3.8600758905094956,15.531023296427753,17.36104628982327,1.0883326866309644,0.0717776977439138,3.8600758905721086,38.02706088199473,3.8600758905094956,38.02706088209555
1990,0.8120150862068966,54.67217752074428,9821.720582732794,7.17496121189038,0.8561909623063513,0.021099116781158,0.0743034055727553,38.42998405925335,3.9645912292291747,15.557541138446371,19.929795220997914,1.4000824653076898,0.1059000547586306,3.96459122893186,38.42998405894737,3.9645912292291747,38.42998405925335
1991,0.7537753131653215,52.1313469139556,9613.376054052707,7.175130852612149,0.8190151382042606,0.0215686274509804,0.0761904761904761,38.80945964351401,3.461449852085499,17.425162933832617,20.214374781112944,1.1908533832049428,0.1058990186717084,3.461449853345957,38.809459644431385,3.461449852085499,38.80945964351401
1992,0.7904027846842367,52.283841431692856,9415.00244837422,7.133077627046499,0.7703925033557711,0.0210526315789474,0.0789473684210525,39.02141646270398,3.880888511709456,16.00191933304452,23.941233885956944,1.331972921498815,0.1079704971485786,3.880888511242472,39.02141646241514,3.880888511709456,39.02141646270398
1993,0.760733782521025,51.36555689457407,9220.244969678006,7.5836048863068,0.7267644146752844,0.0211330935251797,0.0769230769230768,38.84962151691735,3.77663431947885,16.782237221451798,24.83886052362149,1.4999586952255002,0.1143327417972568,3.776634319205202,38.84962151677498,3.77663431947885,38.84962151691735
1994,0.7171906479876307,52.72450705827161,9028.476522031337,8.03308555882121,0.6952151400738843,0.0212765957446808,0.08125,39.020854293464744,3.745859827581894,17.581409349987332,25.992678994240134,1.3832263150080222,0.0747177463865748,3.7458598276374904,39.02085429359495,3.745859827581894,39.020854293464744
1995,0.7165458141067897,53.21498189919242,8841.531485125075,8.348947351829631,0.6535027182946822,0.0212305025996534,0.0820668693009117,39.279884249006756,3.7945199497729263,17.6044831029717,27.88679883104029,1.246033614342691,0.0968291073313492,3.7945199496023307,39.2798842490518,3.7945199497729263,39.279884249006756
1996,0.7336030461684911,52.17617217945388,8659.15675540599,8.62414434103913,0.6064656149242227,0.0212765957446808,0.0841121495327102,39.34051412554658,3.9555285689560016,17.861558030566496,29.172830689647036,1.7295980205748385,0.097714440955583,3.9555285685879147,39.3405141254508,3.9555285689560016,39.34051412554658
1997,0.7650505859961936,51.28301633174272,8479.236222741845,8.69382809896114,0.5662120458808116,0.0215231788079469,0.0879478827361562,39.44487248533675,4.041371436712518,18.753902976594276,29.557579756970355,1.5156320881869478,0.0702450608545078,4.0413714367583955,39.44487248551963,4.041371436712518,39.44487248533675
1998,0.7393027655166201,50.69385367928541,8304.911790100476,9.12482277327013,0.5180442033154055,0.02140549273021,0.0894039735099337,39.14434502655721,4.2289929393994505,18.77022667070908,30.583936109252523,2.3519095730774544,0.1353411058519642,4.228992938927634,39.14434502633824,4.2289929393994505,39.14434502655721
1999,0.7538958739153533,50.71371459280911,8131.722581920457,9.7191029543402,0.47066116806736263,0.0215482841181164,0.0899999999999999,38.967321125479614,4.209765561216293,20.206902745888495,30.150114498853988,1.326167487728764,0.066968740670057,4.20976556152861,38.967321125784146,4.209765561216293,38.967321125479614
2000,0.7151874275408991,50.319785698722136,7962.959538162724,9.95972217175504,0.4317115486378693,0.0213841368584758,0.092150170648464,39.02547514745527,4.654007386135876,20.516479318761814,30.992620884925255,1.5214755926601768,0.1249053546305784,4.654007386161025,39.02547514747612,4.654007386135876,39.02547514745527
2001,0.7032274656037032,49.947356546589454,7798.28976695713,10.25766412789585,0.3940239666395768,0.0213563132259272,0.0918727915194347,38.82273011136344,4.856158089357038,20.86436255416149,31.350713110086787,1.3615242046690053,0.1638640456245067,4.856158089248711,38.822730111248674,4.856158089357038,38.82273011136344
2002,0.7392505294171807,49.970379146919434,7636.511086084681,10.7629532860651,0.36386810052785795,0.0214417744916821,0.089605734767025,38.52264365904156,4.931719315719362,21.60018604017293,31.17226923821245,1.52374267842465,0.1654547547026601,4.9317193158377854,38.5226436590581,4.931719315719362,38.52264365904156
2003,0.6979313286415014,50.167636984228814,7479.306358128377,11.61205593864821,0.3321637621864851,0.0213150289017339,0.0886524822695035,38.14353111515623,5.102786839310361,21.801678828731344,31.609172521358452,1.1712589355112728,0.0930460040153266,5.102786839132042,38.14353111494067,5.102786839310361,38.14353111515623
2004,0.6728209191759112,53.84325235451513,7322.318959842327,12.321528561863591,0.3118898269439929,0.021809081158384,0.0863787375415282,38.111626407673995,5.042216736104012,23.19605921863832,30.90048616141894,1.5299266304667047,0.1260797482315702,5.042216736914,38.11162640818283,5.042216736104012,38.111626407673995
2005,0.6393144081414033,58.8898158836101,7172.101082142758,13.070707357250068,0.2920120745007541,0.0213735108619482,0.0888888888888889,37.89335344415621,5.438188440539948,22.52410729953082,32.257213349308344,1.1014768190818585,0.0822521925822041,5.438188440343941,37.893353443941265,5.438188440539948,37.89335344415621
2006,0.5824822518370906,64.42833228012994,7025.538252395207,14.067634667753808,0.27154907496304725,0.0215017064846416,0.0886850152905198,37.54546819482671,5.5340715895810675,22.82798161694656,32.332984692135554,1.3385311221955265,0.1198282567733719,5.534071589324435,37.54546819458411,5.5340715895810675,37.54546819482671
2007,0.5953880348212632,65.48608562361018,6881.631864730164,15.831795291919502,0.2547452457378451,0.0215588723051409,0.0914454277286136,36.88905193081388,5.493145373546504,23.646538140410243,31.874359220316688,1.5392707503049965,0.1857701362745265,5.493145373528042,36.88905193075023,5.493145373546504,36.88905193081388
2008,0.547893748323048,72.43150503584931,6742.478999901648,17.893765268003172,0.23574145354812562,0.0214674783723165,0.0924369747899158,36.52785783986802,5.843350603909392,23.76095920176202,32.662859617850735,1.5960924656835431,0.1347894944079571,5.843350603394639,36.52785783944424,5.843350603909392,36.52785783986802
2009,0.5723882184868841,57.575534344316644,6603.0304296588965,18.59041465814141,0.22838324480601288,0.0218839200761179,0.0951008645533141,37.21020368406753,6.143746185694708,24.875813364429465,32.52998515072421,1.6381064152609393,0.2685002019557015,6.143746186126859,37.210203684366824,6.143746185694708,37.21020368406753
2010,0.5466686408054486,69.08342172583764,6469.28738439482,19.710052703215112,0.20973249811306424,0.0216249613839975,0.0924855491329479,36.66442708910941,6.330400423998437,24.41693354387626,32.940823721306714,1.3273152664864831,0.3042789395979703,6.330400423722536,36.66442708892766,6.330400423998437,36.66442708910941
2011,0.5631272389182094,77.23637697252472,6336.663800600312,22.6109142803964,0.19869040305986455,0.0217917675544794,0.0891891891891891,35.311481933430244,6.024388015095987,26.00308879945216,31.17726608368046,0.8646174924237149,0.1201450120427479,6.024388015513877,35.31148193373314,6.024388015095987,35.311481933430244
