YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.4450165828973912,396.12834187074594,324.0391239660627,40.45653752298057,1.0,0.01262019230769225,0.19858318098720285,14.942088873611864,9.645804647220029,9.32945868502368,14.75584914981894,1.581640441101486,0.64554592927464
1988,0.4778581111613195,401.63862199854276,326.64775629397093,45.908326412859,0.9500747816442774,0.0122222222222222,0.172866344605475,15.235910547205563,9.873926314385491,9.71824492893787,16.997019879655042,1.7489803975863252,0.6480693283012534
1989,0.4744370035010685,392.4801487013093,330.7577542929963,51.614458616850285,0.9038180442807321,0.01221995926680245,0.1723021582733812,14.712180585382791,11.1593197070511,9.996603710042784,17.167286760088768,1.7173119249332829,0.7585088860408894
1990,0.4639021443672606,390.6336434498366,334.0949870606766,55.70609583734239,0.8561909623063513,0.01234567901234565,0.17204230006609383,13.80332486477538,12.109729287967715,9.991357909045218,17.0710366725594,1.708580237837834,0.8773052439612183
1991,0.4248339300408159,398.7214958954089,334.97528712251767,57.24304577597294,0.8190151382042606,0.0128440366972477,0.15715667311411985,14.105461965788253,11.553098628075785,10.468670703975734,18.758138418596168,1.7918357496403343,0.8190514182447173
1992,0.4353066977738893,409.4861542577701,334.8333391018947,59.42251048856341,0.7703925033557711,0.01269702276707535,0.15764063811922752,14.024031577508413,11.01985211408844,10.607756108578055,18.31247176349523,1.7263285068070793,0.7857834641332351
1993,0.4380329423854081,425.8228914088249,332.8739254062836,64.28740790193132,0.7267644146752844,0.012531328320802,0.1849406429238362,14.219369543394611,11.973091919566233,10.869861244426666,19.412778494525664,1.7859269826907158,0.8420269184950009
1994,0.4377416784399611,435.88274597330224,330.59431073652655,71.39668766244093,0.6952151400738843,0.0126782884310618,0.1515748875080351,13.924869201001252,10.86577294120959,11.45669985054797,20.07674034475929,1.7524017043877629,0.7803141835205389
1995,0.4390754892466417,454.7451963241437,331.77073565828397,77.3450788830859,0.6535027182946822,0.01283018867924525,0.1773524720893141,14.00090382851916,11.522549594638928,12.066048435556583,20.41439344788861,1.69188724518384,0.8229861254505623
1996,0.4453727948493367,490.89056923686985,335.39009380518945,88.12250515215042,0.6064656149242227,0.0332446808510638,0.1809941156969998,14.474350083117654,12.49367845732678,12.402909857083335,25.25955862497579,2.036583262801832,0.8631598921943268
