YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_S,L_U,W_S,W_U,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.2005531440863519,116.80583818679392,6.03334669065507,16.06925897425897,1.0,0.025,0.1663019693654267,0.0,0.0,0.0,0.0,1.6133467176077263,0.7214455354496301
1988,0.1964150975033116,134.85164285835327,6.40458773913914,17.84764998941069,0.9500747816442774,0.0227272727272725,0.1710261569416499,13.65688490767118,17.201789801684285,16.485452584247653,10.432104438130768,1.5696344639776785,0.7017028586518119
1989,0.1953605929509544,141.0216693026365,6.75746895861576,19.214887130021722,0.9038180442807321,0.0212765957446807,0.1778202676864244,13.992536313252677,17.153497460114114,17.571833011376334,11.019647245317564,1.6220466338970672,0.8681685375467156
1990,0.1968019154303305,148.58404576313805,7.0937804796194515,19.72503944071322,0.8561909623063513,0.0199999999999999,0.1789667896678967,14.335175786954997,17.077647708009557,18.48931170452501,11.535535039698479,1.7047021957690611,0.9074289452223973
1991,0.1938788894556583,140.67953785345088,7.25873052702961,20.29197239636861,0.8190151382042606,0.0196078431372548,0.1811594202898551,14.587738793625514,17.05073006347404,19.38708267991728,12.157097640826139,1.5976675333901642,0.8688150313547977
1992,0.1858449620920778,145.0005202372282,7.419051763374929,22.13069461015404,0.7703925033557711,0.0188679245283017,0.1757679180887372,14.927578596256971,16.927633691232504,19.923367734607314,12.493814158488414,1.5117005020805967,0.8462607168831919
1993,0.1884948979591836,154.07779536247875,7.574549470723261,26.399945325843237,0.7267644146752844,0.018181818181818,0.1664167916041978,15.235741296034886,16.90317761614162,21.014735857261392,13.051760192304629,1.515819759558606,0.9407314254921396
1994,0.1875799346312349,165.27728416473565,7.6021061941493695,33.05945230473479,0.6952151400738843,0.0338983050847457,0.16270337922403,15.451848911909323,16.886645516205377,22.0138725318263,13.657927499572942,1.6616332498316977,0.9788684084079476
1995,0.1952145841245727,173.9626844890003,7.91382488744902,41.574574351949714,0.6535027182946822,0.0322580645161291,0.1647549530761208,15.890153315570386,16.703673574962686,22.758876642514622,13.842095059863258,1.6708524342245652,0.9576030687578462
1996,0.1912059843094326,190.86732391669975,8.2209607219565,52.37744464563217,0.6064656149242227,0.0303030303030302,0.1644678979771328,16.174568629301877,16.629359298000242,23.879362060772806,14.423360805634266,1.630053866487964,0.8595838533467646
1997,0.1906928020686856,201.47456146246387,8.93969604349258,68.74640225104301,0.5662120458808116,0.027027027027027,0.1646120377084844,16.687484887771646,16.491066362652262,25.397027518515728,14.867245076417566,1.7409471741163067,0.9596780551404794
1998,0.1952689428131471,226.48872820076565,9.92564970127775,79.2587133278414,0.5180442033154055,0.0235294117647058,0.1710875331564986,17.12862975576843,16.312373751128685,26.877086144827075,15.41737983330926,1.6143965654485173,1.110761512117459
1999,0.1858630309221641,246.74732275104535,10.92624375014975,104.29343734396193,0.47066116806736263,0.0312500000000001,0.161342717920953,17.558720321757406,16.114905340955136,27.985901794334055,16.111147002076166,1.8251280047953389,1.0799528339595814
