YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.8960718397421138,324.61230790821696,443.6236480030211,14.35192948788077,1.0,0.01979233827638075,0.15606880556629293,13.02275593610884,9.028948282746677,8.251878404118441,13.47368279091416,1.632801906556156,0.6933208552048239
1988,0.9008693273611598,347.567485130395,450.2103942361376,16.03298583650086,0.9500747816442774,0.01897551920176345,0.147306531066264,13.009725467232043,9.56305374579485,8.55786612028446,14.15580055669598,1.6541273674687311,0.7350696038806951
1989,0.8891573405055501,371.00324468865665,456.8190768459608,17.88516839211323,0.9038180442807321,0.02268527560356355,0.15723892405063283,12.854622685794617,9.61302004647601,8.95003748660936,14.93271775024379,1.6684530955971348,0.7478259207949497
1990,0.8981024474693642,398.290168468695,463.783474984262,19.90366677796019,0.8561909623063513,0.02217558680425595,0.1618773946360153,13.000392064673104,8.964146762360697,9.518893343668998,15.81958546253231,1.6619143519507855,0.689528955570472
1991,0.9019023833749577,422.7181514138036,469.6872215268246,22.04192581396135,0.8190151382042606,0.0217242358917798,0.1550711743772242,13.153382182208999,9.74969857031325,10.148450917427942,17.04040006637506,1.679113413960703,0.7412312996957159
1992,0.902077407120076,448.12045721420395,476.72324444784215,23.538002176929048,0.7703925033557711,0.0208199727725836,0.16103951227041208,13.5756026010389,9.749651115132439,10.585000701099084,17.44215536030395,1.6478180637713948,0.7181744635325675
1993,0.8922523419948285,458.78210619546115,483.77746134660646,25.0339509256274,0.7267644146752844,0.0201624029327132,0.1550184729064039,13.657324797573485,10.288011282019566,10.996109591542584,18.39997474824599,1.6733167849107224,0.7532962300089291
1994,0.878630328017947,461.0053594529662,490.53401888440857,26.44572619028951,0.6952151400738843,0.0194946221731936,0.15853879076496463,13.575669394853918,10.466314762245828,11.127999811511051,19.30165845381987,1.73451283076531,0.770961229080406
1995,0.873280486671785,469.41381230854915,495.6122421832347,28.015154168199167,0.6535027182946822,0.0222836985165198,0.1618931048551612,13.805321841154097,10.485880738195236,11.48722631684238,20.378148806289023,1.7739834007110071,0.7595535155824111
1996,0.876213467803198,482.3280871836244,500.6732964495054,29.97488600223648,0.6064656149242227,0.0216744805260108,0.16628614916286139,14.161875123420959,10.564948401237583,11.845490848595238,21.596057848104746,1.823145880921079,0.7460133851742015
1997,0.881156835151439,492.6554203911553,510.16492916783784,32.896403615505925,0.5662120458808116,0.020716676020037,0.16059922680412375,14.090427078734784,10.607908775750442,12.29713394581899,22.451656879104824,1.825763383405152,0.7528450852820391
1998,0.8841350690160148,520.8395363675031,520.0286756183735,37.330887947406985,0.5180442033154055,0.0196721052686968,0.16096014492753624,13.853437291954153,10.9368650105631,12.4293172705427,23.1823874531659,1.8651376377774045,0.7894694132635985
1999,0.8881163289244832,536.3502903356884,529.8835303967073,42.30128284481478,0.47066116806736263,0.0208254965739532,0.1615784632800339,13.866865205004316,11.437291673534876,12.80153655825936,23.14401446913548,1.807909102458744,0.8247928788842163
2000,0.8934850291084594,554.7980671870395,540.0625057560682,48.20623016883427,0.4317115486378693,0.0196645265804669,0.15563306538544455,13.656250285090657,11.646740391881796,13.324371173835198,25.049684126977265,1.879989967268912,0.8528505372076579
2001,0.8841931299202104,585.1507858915545,550.1144250514725,54.7897519737561,0.3940239666395768,0.020801123411006747,0.15695205847576044,13.885828220058826,11.90648075178797,13.974181820947733,27.24091430277251,1.9493745431262053,0.8574555700313518
2002,0.8782678726304052,630.3946978672986,563.6034569434444,63.28145676385988,0.36386810052785795,0.01930158946869205,0.15634177361544677,13.36561539241726,11.758865110950369,14.821796132961913,28.049583628091565,1.8924550962965023,0.8797847884820588
2003,0.8759238745528175,661.200208184558,577.8192224262032,73.63236858622982,0.3321637621864851,0.01988092600456665,0.1530013870952312,12.98057210684736,11.93215813099942,15.337151902988689,28.735764599269764,1.8736050070463304,0.9192320671833184
2004,0.871066518441383,683.6816483373999,592.9962032928527,84.58077567345525,0.3118898269439929,0.01967193789759015,0.15276134588992465,13.468921564252808,11.766232845299031,15.528370394266144,29.71437225807384,1.9135538053011591,0.8735838863689878
2005,0.8849892038006972,713.8755871495674,610.0035699059379,96.94894976194077,0.2920120745007541,0.0194157258918844,0.1523713148485461,13.355362019544636,11.309699166679652,15.999925993830256,31.346000623743475,1.959134100734643,0.8468283488031773
2006,0.886976377912622,737.706899036596,630.8749648269859,110.91179160861834,0.27154907496304725,0.019361864195232302,0.149989201845916,13.189034979320592,12.57151980228778,16.503299617308546,32.29982991277442,1.9571740598406504,0.9531796543112496
2007,0.8862933965803071,758.4803212504587,654.5637727368136,126.33497542735293,0.2547452457378451,0.0195863400867766,0.15323520839405413,13.206118872004897,12.239462841780492,17.89188509130675,31.41749666402937,1.7559634719146726,0.9268024133666116
2008,0.8681367717185711,795.0975927475297,679.1637272259998,143.39831313523766,0.23574145354812562,0.019805644732891398,0.15138153785463035,13.358774848461206,13.024803013698648,17.555690861250174,33.8064077708192,1.9256666136357208,0.9749998155855568
2009,0.8491746084893279,839.4136156509478,699.5745201389027,157.33559898649634,0.22838324480601288,0.0213184568328459,0.15267867805111054,13.434168281427695,12.836905788677685,18.887997768779996,34.497512520960406,1.826425063326797,0.9555415355652714
2010,0.8494490172816556,865.845136332439,715.332594468219,169.58860136323392,0.20973249811306424,0.0198617467815178,0.15240081380064602,13.01918836418334,12.288210039223271,18.194822676487927,35.599382677170375,1.956566618435546,0.9438537714861676
2011,0.8550124029228962,886.006662523813,729.3216857758788,187.08296292725976,0.19869040305986455,0.020174818408432,0.15240157879360605,12.032017876914582,13.623287403734876,18.406232199684176,33.77089509621824,1.8347532906163,1.1322529224190574
2012,0.8501775247218907,918.2811828118282,742.9218102368089,205.17015846584246,0.18864892110924922,0.01972144977650415,0.15470733921307128,11.92966534377653,14.196907767100944,18.71425347037585,34.79213043879114,1.8591246770204397,1.1900507984079527
2013,0.8526398621331603,930.5372095766011,753.3531291772642,224.44426161785108,0.17942470361884144,0.01976994926633475,0.1543141649524628,11.883930014922484,14.923650553954932,19.400814140061613,35.58757810390773,1.8343342628297925,1.2557841164678278
2014,0.8517531022592867,945.2305376800549,762.5702430259308,240.26069130590344,0.16940040437319334,0.02003463016820905,0.15418357885574246,12.018248801248241,14.43403116871375,18.675751988359927,36.80023770316056,1.9704822448968649,1.2010095153975011
2015,0.8497261461608857,997.0140414557264,772.6978291767057,257.93584206920013,0.1606264510913028,0.02037649337760975,0.15598807221147643,11.877374351274941,14.935614532727895,19.37245555224943,38.9794283874438,2.0121057076276374,1.2574845324400068
2016,0.8485824368872722,1032.1306638168287,782.7400396239354,277.96177694865725,0.15057231044144603,0.0200424111222272,0.15457272186528404,11.436718203535833,15.839907555089809,20.432269303234232,39.245657657278606,1.9207684215020795,1.3850046204856798
2017,0.8520965280641595,1045.0622784058212,793.2144187479742,298.7804280196426,0.1425409382901312,0.019860360429330398,0.1550271925278627,11.597402564741047,15.508936341929944,20.98352144383119,39.46983109061805,1.880991767576816,1.3372767096212492
2018,0.8563031152724937,1064.3962399267566,803.1561375913532,322.9825551294327,0.13499655825412618,0.0196627273744692,0.1535339332583427,11.437891808901457,16.169510789326782,21.518334604890125,41.25540396716966,1.9172210454332377,1.4136792915581682
