YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.9711222656007932,40.54978597993124,18.86674959234272,1.11098986472092,1.0,0.0263157894736841,0.1538461538461538,0.0,0.0,0.0,0.0,1.1106703991709477,0.6180766637526863
1988,0.98725671918443,43.587006252859545,19.750714357016218,1.1318757463266,0.9500747816442774,0.025,0.1538461538461538,10.279375947144821,6.936831130828807,11.729726836549775,14.140094323219255,1.1970929869663616,0.7130031344652202
1989,0.9895195600290548,44.127765730217995,20.47420844347755,1.1929881660370198,0.9038180442807321,0.0294117647058823,0.15,9.377809152504376,7.39093691028617,12.35975889894886,14.424068132119945,1.3999592036999973,1.000194697544354
1990,0.9722593727080548,50.44474478249937,21.4738395136133,1.25069741281708,0.8561909623063513,0.0279329608938547,0.1463414634146341,9.143150524782302,7.689289101531315,12.65930020089077,15.322067836658722,1.483131026590949,0.7914618139129058
1991,0.9665557404326124,51.49285497111583,22.41680467477061,1.34544302989516,0.8190151382042606,0.0268817204301075,0.1428571428571429,8.462587892860299,8.048905585063617,13.227329117194127,15.803651505972484,0.9465746727193958,0.4894353665312744
1992,0.9500280531138956,55.01137089941585,23.17381131212562,1.4588623370344098,0.7703925033557711,0.0259067357512953,0.1555555555555555,7.9937379211584725,8.081557924107504,13.985933617764283,16.28095086415653,0.9566016433847204,1.0336290999283453
1993,0.9559349365491132,60.79450582957036,24.53806288895487,1.70843180344806,0.7267644146752844,0.0288461538461539,0.1428571428571429,7.914076019051109,8.480880870192573,14.194028530618152,17.098233841005463,1.025942355128029,1.257327939052583
1994,0.954113394470848,64.98016860241957,26.16689328999064,1.96206661818727,0.6952151400738843,0.0263157894736842,0.150943396226415,7.776265916438113,8.716664654437114,14.472018712058285,18.159102737123394,1.3905940721622123,1.001880583370617
1995,0.952224883398462,70.40100250626567,27.92553343157988,2.16932737484128,0.6535027182946822,0.0285714285714285,0.1428571428571428,8.029823096958406,8.473900032783725,14.927101098493942,19.510589116527246,1.765478850768977,1.7643264843671933
1996,0.9511989291118612,76.45249066768764,29.501104781842628,2.3504079757350995,0.6064656149242227,0.0268199233716475,0.1525423728813559,7.549758961605894,8.59989704009716,15.511523537057284,20.36580683473786,1.3307120446146774,1.1191697693997045
