YEAR,BEA_CODE,SKILL_PREMIUM
1973,111CA,1.8414768473595338
1974,111CA,1.4107067807312508
1975,111CA,1.34738446977896
1976,111CA,1.6542001666662984
1977,111CA,1.583775348221523
1978,111CA,1.6305004239514846
1979,111CA,1.6171984961184263
1980,111CA,1.4226224948637431
1981,111CA,1.3798227621418886
1982,111CA,1.5275865243223572
1983,111CA,1.5066761305474823
1984,111CA,1.6990942457230414
1985,111CA,1.7547743041098782
1986,111CA,1.4010693216844177
1987,111CA,1.3726598781780874
1988,111CA,1.7051595193570672
1989,111CA,1.7689629667876003
1990,111CA,2.0469284926851095
1991,111CA,1.4474178932064055
1995,111CA,1.6793030346579427
1996,111CA,2.2045486080222387
1997,111CA,1.3425720521145976
2000,111CA,1.7909147097099078
2001,111CA,1.3604508518526646
2002,111CA,1.2168640389687988
2003,111CA,1.5333581980147455
2004,111CA,1.7006956633304053
2005,111CA,1.5309853481590086
2006,111CA,1.7033256883744965
2007,111CA,2.513307816772957
2008,111CA,1.747353820203971
2009,111CA,1.6573165308021272
2010,111CA,2.053725215836648
2011,111CA,1.591705484021153
2012,111CA,2.3125690804418
2013,111CA,1.2429469636146617
2014,111CA,1.8469620138426721
2015,111CA,1.9434921694248157
2016,111CA,2.0502999835078337
2017,111CA,1.5383333185723918
2018,111CA,2.023640866359307
2019,111CA,1.823093762633651
2020,111CA,1.8445149576584776
2021,111CA,1.3600693465826028
2022,111CA,1.7640409286860648
2023,111CA,1.6353471713259977
2024,111CA,1.77394339843079
2025,111CA,1.8141565830063926
1983,113FF,1.483821581507841
1984,113FF,1.1082457657694806
1985,113FF,1.4725505723304797
1986,113FF,1.6049965497440675
1987,113FF,1.3520712546089446
1988,113FF,1.6937590262943927
1989,113FF,1.738947018242917
1990,113FF,1.6466214141511542
1991,113FF,1.6573778887383155
1992,113FF,1.617576821618195
1993,113FF,1.7116031121104247
1994,113FF,1.490606546893972
1995,113FF,1.4060780532764265
1996,113FF,1.5436859373124145
1997,113FF,1.6407892729246185
1998,113FF,1.4328748366656254
1999,113FF,1.3541183754319217
2000,113FF,1.3992670699459917
2001,113FF,1.693950420931712
2002,113FF,1.5477058104103996
2003,113FF,1.780047096297007
2004,113FF,1.9068667437331162
2005,113FF,1.7152970423294416
2006,113FF,1.3940199610210795
2007,113FF,1.678048707629559
2008,113FF,1.5668073550860744
2009,113FF,1.6178126222451585
2010,113FF,1.6924410031732766
2011,113FF,1.4950004065063496
2012,113FF,1.6355882766154684
2013,113FF,1.5261019927946866
2014,113FF,1.721749207804524
2015,113FF,1.7424690198026251
2016,113FF,1.6174926136896546
2017,113FF,1.5647879422885822
2018,113FF,1.6366697854308656
2019,113FF,1.536728723231938
2020,113FF,1.2828461461089737
2021,113FF,1.613128487556649
2022,113FF,1.4642723387168253
2023,113FF,1.739572691438262
2024,113FF,1.4723720641625595
2025,113FF,1.8601457338585976
1972,211,1.7380745160977802
1974,211,1.4899059171936695
1975,211,1.2857415352870523
1976,211,1.5599373157796403
1977,211,1.5528965356108424
1978,211,1.413697642126832
1979,211,1.5095431211182204
1980,211,1.396315986119996
1981,211,1.311722795093692
1982,211,1.4125901399279897
1983,211,1.61242077207254
1984,211,1.6643007510520242
1985,211,1.6215429679331028
1986,211,1.4173547235672352
1987,211,1.6812004292217355
1988,211,1.686427196076204
1989,211,1.7464573297214268
1990,211,1.5778093918950589
1991,211,1.577780318250973
1992,211,1.4428483458308778
1993,211,1.4551278372578962
1994,211,1.616225296202109
1995,211,1.9289669973363197
1997,211,1.8132771998316877
1998,211,1.5981542287368269
1999,211,1.7492699288928697
2000,211,1.3754484241093896
2001,211,1.349633227199788
2002,211,1.553054786641467
2003,211,1.67131927020436
2004,211,1.9487006138241498
2005,211,1.9239184242106326
2006,211,1.7353219074276687
2007,211,1.5247756187614805
2008,211,1.505044458273301
2009,211,1.7474360444411072
2010,211,1.8195735807737643
2011,211,1.378197836040993
2012,211,1.808842553905662
2013,211,1.5603083307233845
2014,211,1.1721058483570457
2015,211,1.549181955703524
2016,211,1.4347833781565473
2017,211,1.8065116484913906
2018,211,1.4150955271108747
2019,211,1.1696171173672818
2020,211,1.492357866315252
2021,211,1.5942745494211237
2022,211,1.7303984981585374
2023,211,1.5598803152747946
2024,211,1.5732041078786372
2025,211,1.6261483210981018
1977,212,1.05696201226106
1979,212,1.2873305019833237
1980,212,1.1441959310653493
1981,212,1.1098059700625893
1982,212,1.0948879065726984
1983,212,1.0936682141587695
1986,212,1.1111303833494481
1990,212,1.2418816008726195
1991,212,1.0848264519535544
1992,212,1.3484036310244902
1993,212,1.3978372284139067
1994,212,1.2389703163324082
1995,212,1.209477825905903
1996,212,1.6517019916487736
1997,212,1.3111567508211137
1998,212,1.0696980750009797
1999,212,1.565952012260612
2000,212,1.408098645806994
2001,212,1.3143353111957552
2002,212,1.4597440436157814
2003,212,1.5940224944046733
2004,212,1.122223468401182
2005,212,1.6226298774388108
2006,212,1.2527663953894779
2007,212,1.3517825337289713
2008,212,1.3537737593058148
2009,212,1.0399329139511588
2010,212,1.1773229301997652
2011,212,1.671309139833491
2012,212,1.3596669351104058
2013,212,1.4698110847070414
2014,212,1.4721039948653645
2015,212,1.5481717615563122
2016,212,1.4468411359564683
2017,212,1.5809057584813533
2018,212,1.4843233208115827
2019,212,1.3175638430630783
2020,212,1.5487234556159115
1968,213,1.464738370105806
1969,213,1.4266852955000586
1970,213,1.8231301043675867
1971,213,1.5748545565936747
1972,213,1.473656258747825
1973,213,1.6661833552272898
1974,213,1.5519495300999822
1975,213,1.5279243258961424
1976,213,1.5923166684095444
1977,213,1.3924052081852247
1978,213,1.40429733638655
1979,213,1.4736764147494756
1980,213,1.5424585267711048
1981,213,1.5811975575534505
1982,213,1.69019777652569
1983,213,1.6271937485360246
1984,213,1.4553708732492194
1985,213,1.540088411138674
1986,213,1.5568830199349344
1987,213,1.632616243981424
1988,213,1.6410005650623847
1989,213,1.571269697217747
1990,213,1.597973520378747
1991,213,1.512565936182035
1992,213,1.534031958705386
1993,213,1.5116803181064717
1994,213,1.6392105834984227
1995,213,1.5071461982590821
1996,213,1.4032950616815336
1997,213,1.4223335569153026
1998,213,1.6633526889008656
1999,213,1.8520373320798538
2000,213,1.6691438131304892
2001,213,2.0994041994750283
2002,213,1.9140615372677763
2003,213,1.6478043305898136
2004,213,1.598239650887037
2005,213,1.4329605996794808
2006,213,1.7264858380608168
2007,213,1.8626626526189745
2008,213,1.7151578526461608
2009,213,1.8215189325261512
2010,213,1.8444576854390722
2011,213,1.4574918049464356
2012,213,1.5964481058624327
2013,213,1.7817811968224828
2014,213,1.7213202125107998
2015,213,1.6019109853869817
2016,213,1.603191199033332
2017,213,1.6026558174438579
2018,213,1.7723884798445666
2019,213,1.61428877697378
2020,213,1.607418623689847
2021,213,1.7692469285068693
2022,213,1.648261683476151
2023,213,1.9791306898559942
2024,213,1.6277342778023796
2025,213,1.6241690556222965
1968,22,1.2475889581931672
1969,22,1.2555680073797426
1970,22,1.430803032849923
1971,22,1.4108016030202704
1972,22,1.3923238684561834
1973,22,1.35985163053023
1974,22,1.2813449164206596
1975,22,1.2883166110119557
1976,22,1.341719076629725
1977,22,1.2855665917004422
1978,22,1.225418657726311
1979,22,1.252079823198719
1980,22,1.248511633108953
1981,22,1.2726648436717527
1982,22,1.216871633145454
1983,22,1.2853629349182318
1984,22,1.2768655599259284
1985,22,1.31073023433536
1986,22,1.3331876934988047
1987,22,1.2599543626234095
1988,22,1.226983301626733
1989,22,1.239581752456073
1990,22,1.2874976758109669
1991,22,1.2227446179699244
1992,22,1.277356781747121
1993,22,1.2655763187953677
1994,22,1.2202464867903096
1995,22,1.29259206702992
1996,22,1.3369799060733039
1997,22,1.249356040020201
1998,22,1.2531583312501942
1999,22,1.3512313889968663
2000,22,1.4543550911093037
2001,22,1.4484948218565254
2002,22,1.4575830487351196
2003,22,1.312973469737843
2004,22,1.3355997712350602
2005,22,1.4481362193852612
2006,22,1.455178160981585
2007,22,1.3129208987140082
2008,22,1.473576724178163
2009,22,1.4343702431111682
2010,22,1.3431362946967138
2011,22,1.4196381479268965
2012,22,1.4373691862599722
2013,22,1.4184249515645238
2014,22,1.593629662421289
2015,22,1.5056987881064172
2016,22,1.5233370511939326
2017,22,1.4129431336328433
2018,22,0.9493933581759479
2019,22,1.351341555536217
2020,22,1.4855779232682214
2021,22,1.4317315577218612
2022,22,1.6000742711346756
2023,22,1.5295083630498274
2024,22,1.624004620328038
2025,22,1.604283460377931
1968,23,1.2959435181171188
1969,23,1.2982371300796884
1970,23,1.3513683117839097
1971,23,1.292683720948604
1972,23,1.2604733013376979
1973,23,1.1790963820347695
1974,23,1.19911614874495
1975,23,1.2505502449347525
1976,23,1.2636250003568532
1977,23,1.2388802802214738
1978,23,1.2582698996503818
1979,23,1.3005834078890068
1980,23,1.236188215340196
1981,23,1.219922996926889
1982,23,1.2380213686855541
1983,23,1.2875525752425554
1984,23,1.2724485286925415
1985,23,1.24321082018801
1986,23,1.2740436615842774
1987,23,1.2491702416614927
1988,23,1.2803940930317064
1989,23,1.3783016438483933
1990,23,1.355212620066968
1991,23,1.354830199440499
1992,23,1.3908432233715349
1993,23,1.3051540849215582
1994,23,1.3211591235061682
1995,23,1.278683609757997
1996,23,1.3771384314916133
1997,23,1.3908467322264533
1998,23,1.2835078056183773
1999,23,1.4314325074585612
2000,23,1.3583332328129931
2001,23,1.4810982002554822
2002,23,1.4526250337555826
2003,23,1.4593471348712568
2004,23,1.495721574782827
2005,23,1.350582075827044
2006,23,1.4283774316217248
2007,23,1.561783510235028
2008,23,1.4257079396639278
2009,23,1.378999880528917
2010,23,1.4832619555975324
2011,23,1.4288291652825955
2012,23,1.3381376581982665
2013,23,1.4700122043204107
2014,23,1.4853147230379513
2015,23,1.4237600742500827
2016,23,1.315420207095484
2017,23,1.3778934206643862
2018,23,1.4139460244041109
2019,23,1.4366030016686322
2020,23,1.5035060030157228
2021,23,1.5387111908389552
2022,23,1.4333737234602624
2023,23,1.5309188535744715
2024,23,1.461022528927802
2025,23,1.414999131317976
1968,311FT,1.4341625436835965
1969,311FT,1.3726035216170398
1970,311FT,1.536055030460246
1971,311FT,1.5900562293443192
1972,311FT,1.3860035818011014
1973,311FT,1.4627277764826512
1974,311FT,1.372980504396215
1975,311FT,1.2136873263290517
1976,311FT,1.314074915847264
1977,311FT,1.3252399419196679
1978,311FT,1.3155249529546813
1979,311FT,1.3068440695901444
1980,311FT,1.3082327378486835
1981,311FT,1.3314475963128412
