YEAR,L_U,L_S,W_S,W_U,SKILL_PREMIUM,LABOR_INPUT_RATIO
1992,163464213879.58002,17385412609.71,20.48585036327013,12.114292119435506,1.6910480745634122,0.10635607756029951
1993,163453457511.9,18588465327.4,20.980611591308136,12.54883278481771,1.6719173767851676,0.11372329230812811
1994,168031571198.9,18661583599.84,21.76966632943097,12.759423838414452,1.706163742589193,0.1110599839464107
1995,173451659146.77,19926177862.18,22.17422188498936,13.146486811450645,1.6867032388969136,0.11488029552556209
1996,180999213601.07,20612374811.42,26.642348688154257,13.83589437240764,1.925596421239382,0.11388101860403964
1997,185493138366.06,20742333092.98,28.0260276693002,14.479495377963584,1.9355666021312559,0.11182264355270222
1998,187108018942.42,21080556954.62,29.051201891953006,15.072622849768202,1.9274151673210465,0.11266517102672792
1999,192695861834.86002,22113448173.2,30.067174153672013,15.654779961048803,1.9206385671649928,0.11475829300450252
2000,196245976249.93,23300778772.6,29.498289693417096,16.09013651282199,1.8333150666503264,0.1187325173124833
2001,203274652241.1,23781538891.09,32.75030344752746,17.194322122299887,1.9047161740126122,0.11699215140155887
2002,199791893563.52,24962558986.97,34.62130612057006,17.950240521098603,1.9287377280475093,0.12494280194122909
2003,198330797424.5,25465242130.38,34.84682753723248,18.303036630265428,1.903882303311936,0.12839782051536416
2004,196977282768.58002,25839128952.48,35.921889286647904,18.5370663653972,1.937841111347728,0.13117821806303046
2005,199858359127.30002,26405453877.46,37.26223303984437,19.013476616113206,1.9597800966218892,0.13212083794123924
2006,204907874194.83002,26880347174.07,38.44835859825037,19.350874552944703,1.9869054751532935,0.13118259744626354
2007,209352038619.69998,28589515341.14,39.66627154486689,20.221724418121696,1.9615672098330033,0.13656191518189367
2008,209500466178.57,30042012163.94,38.423233134461896,20.707595001704732,1.8555140339232412,0.14339830699151457
2009,202238306985.58002,30257422351.16,40.687079921613794,21.304667570861174,1.9097730479147368,0.14961271582103094
2010,189398626639.47,29747441133.21,42.12221346902836,21.816743480360802,1.9307287316709902,0.157062602094976
2011,189408005974.93,30858634832.62,40.69173195617791,21.922582687941805,1.8561559345176881,0.16292149148491877
2012,192531933094.28,31248981383.97,43.3890580241577,22.602548827258353,1.9196533256387045,0.16230544659138618
2013,195177955738.17,33002315070.41,43.48556622147816,22.81808056892367,1.905750402192106,0.16908833246866461
2014,198911333908.73502,34134743797.682503,43.861076029581454,23.093321971773385,1.899296951871722,0.17160783715494204
2015,204046647517.13,35307651174.0,43.351383574313,23.623075504765193,1.8351286887081344,0.17303715402153752
2016,207843658268.14,37394772412.31,45.15056458425081,24.388669075672563,1.85129268203028,0.17991779361421187
2017,210763955800.33,38769479819.39,46.610399077392145,25.284404623482107,1.8434445964412458,0.18394739115695274
2018,214265018874.51,39387068679.869995,48.143366573954246,25.940209580197937,1.8559359138989227,0.1838240739751274
2019,217325930990.4,41024832902.27,48.581773771569765,26.653456536372644,1.822719454989736,0.1887709980825169
2020,216592350988.45,42494750082.14,53.17232182148002,28.041311943182347,1.8962137694990318,0.19619691040892792
2021,196568569908.63,42280448694.19,52.37163006885114,29.224042450614053,1.7920734325976422,0.2150926199129546
