alpha_0,sigma_0,rho_0,eta_0,mu_0,lambda_0,phi_L_0,phi_H_0,alpha,sigma,rho,eta,mu,lambda,phi_L,phi_H,fit_rr,fit_wbr,fit_lbr,fit_sp,obj_val,tol
0.22,0.5,-0.5,0.01,0.4,0.4,4.0,6.0,0.1713484551848155,0.9947504662823983,-0.7835619612066473,0.01,0.24626667182292694,0.022072340554398523,4.136433053091166,6.0,81.84784146695182,12.632328214626465,0.30325899055041483,194.51108158005843,45.19013665696084,0.1
0.22,0.5,0.5,0.01,0.4,0.4,4.0,6.0,0.17357855195628216,0.9925834083339276,0.7490256134315049,0.01,0.10493155427657419,0.9294271538567888,0.6342437863574801,6.0,10.767741623627144,5730.988430019387,0.07158263126906175,97152.99737316131,49.21454052170976,0.1
0.22,0.5,-0.5,0.04,0.4,0.4,4.0,6.0,0.18009831545395497,0.8877046503849397,-0.6652376795539775,0.04,0.3915678285520925,0.040184076866287916,3.362938830709406,6.0,72.50695391326535,8.129348516970145,0.2922125174217759,126.37941591764911,16.55471917393901,0.1
0.22,0.5,0.5,0.04,0.4,0.4,4.0,6.0,0.181985380049459,0.4972328386929489,0.4806578418306799,0.04,0.6050058901312034,0.9242780941956308,0.015570095046078286,6.0,17.351050641755155,0.08699467588723026,0.04885284393266826,1.523199877156192,10.953887845639212,0.1
0.22,0.5,-0.5,0.08,0.4,0.4,4.0,6.0,0.1873832056395061,0.9634006954924326,-0.6979172849896648,0.08,0.32296469233456215,0.031990203988566335,3.7639877997062485,6.0,66.3269479977593,10.054580227870108,0.2839440766007265,155.38536711474885,10.679017587847353,0.1
0.22,0.5,0.5,0.08,0.4,0.4,4.0,6.0,0.18457110140180716,0.7067736908055542,0.41318262910830966,0.08,0.1750049924165314,0.9042466313895969,3.0819930915769236,6.0,17.51321554432902,0.05227926321303341,0.05158078752773988,0.8467839729754209,7.895934563688734,0.1
0.22,0.5,-0.5,0.1,0.4,0.4,4.0,6.0,0.18572265540218097,0.9298858154986723,-0.7297116574577008,0.1,0.3195431104907112,0.03002518017649835,3.829698838391286,6.0,67.7465452162603,7.217016444455665,0.29119019412945407,111.80241901837938,9.773603947374964,0.1
0.22,0.5,0.5,0.1,0.4,0.4,4.0,6.0,0.18507110586943393,0.6049256584916961,0.43729326708268085,0.1,0.30063210539688096,0.9139346883120005,2.2450979081916405,6.0,18.234564282710608,0.05144821968109291,0.05209490901525843,0.8018618904857728,7.141642274156686,0.1
0.22,0.5,-0.5,0.3,0.4,0.4,4.0,6.0,0.18963301164829355,0.8148919490023612,-0.50675819868281,0.3,0.41346738802449956,0.0821415941459672,3.3903049286752727,6.0,45.030554706667566,2.28252807183941,0.1682922196728715,36.080092688710636,7.633914508431127,0.1
0.22,0.5,0.5,0.3,0.4,0.4,4.0,6.0,0.18484169753760996,0.7340661204830968,0.24989540390498016,0.3,0.35935831908391674,0.8047866305846397,2.000508610744551,6.0,20.048275440070114,0.10254740080203788,0.05591032722021938,1.7557361612817246,6.839876146367,0.1
0.22,0.5,-0.5,0.01,0.4,0.4,7.0,6.0,0.1696655223910442,0.9635554200677499,-0.8353536714660643,0.01,0.18779748338703667,0.017410914362023407,4.567741913589285,6.0,85.9526094135274,11.871050488031733,0.3159709365186977,183.09406724806496,45.23013050744349,0.1
0.22,0.5,0.5,0.01,0.4,0.4,7.0,6.0,0.20131292436697948,0.9683028182660602,0.8708238463728588,0.01,0.13311700619833072,0.988404297685798,2.2813139159170133,6.0,12.918178300926716,0.06595675918565147,0.07766462109445227,1.1539140906336551,18.3976999622544,0.1
0.22,0.5,-0.5,0.04,0.4,0.4,7.0,6.0,0.18231814917340983,0.45906622575480716,-0.765761287227194,0.04,0.5423521085392757,0.023824016930610373,3.1844863236704875,6.0,53.97102525091404,0.7235475533787731,0.21960780493988225,12.247146870509548,16.809687728980993,0.1
0.22,0.5,0.5,0.04,0.4,0.4,7.0,6.0,0.1946893703331961,0.6653080784908343,0.7264660758072896,0.04,0.16405500901248066,0.9781105975420599,3.026084499430457,6.0,14.035522182824975,0.0883884604324634,0.052117096204851096,1.1954972695398975,7.8547385186072916,0.1
0.22,0.5,-0.5,0.08,0.4,0.4,7.0,6.0,0.18213339331990522,0.5843155186963858,-0.4972339519649117,0.08,0.69851017329438,0.09250292901926563,1.284347069366143,6.0,58.16812302967589,1.5552968352827399,0.21162003038609944,25.24343728471896,12.963375062913533,0.1
0.22,0.5,0.5,0.08,0.4,0.4,7.0,6.0,0.18796490529588414,0.5352698783791282,0.4521425243180356,0.08,0.18116351456387347,0.9122567200815843,3.7101013101295943,6.0,17.713040567636998,0.09428442272773332,0.05013124834064602,1.746889014156645,7.866978609423431,0.1
0.22,0.5,-0.5,0.1,0.4,0.4,7.0,6.0,0.1858747791753806,0.6717174348825392,-0.5399121299037268,0.1,0.6949239166322162,0.07220026717576924,1.653732142673085,6.0,54.72076471450596,2.1971779743718707,0.20603345151497693,35.16442781854565,10.798751943803481,0.1
0.22,0.5,0.5,0.1,0.4,0.4,7.0,6.0,0.18491376362802647,0.5201157364066435,0.4424987556875676,0.1,0.18698644936929212,0.9153060377139579,3.8530895280399733,6.0,17.516150313654556,0.09280333343521624,0.049858710760197086,1.2167523540848462,7.128577225309652,0.1
0.22,0.5,-0.5,0.3,0.4,0.4,7.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1
