code,name,sigma,rho,alpha,sigma_s,sigma_u,csc_strength,avg_skill_premium,avg_labor_input_ratio,sector
622HO,Hospitals and nursing and residential care facilities,0.7082328873241833,-2.2293618352725626,0.14094022490694574,0.30965870379637983,3.427391081979493,2.937594722596746,NaN,NaN,Education/Health
313TT,Textile mills and textile product mills,0.9937568158815961,-1.4569192556723247,0.13909588984205687,0.4070137826838573,160.17467706136816,2.4506760715539206,NaN,NaN,Manufacturing
335,"Electrical equipment, appliances, and components",0.987442348249341,-1.2132233606655707,0.24346308228172284,0.4518296787267217,79.63272272998962,2.2006657089149115,NaN,NaN,Manufacturing
55,Management of companies and enterprises,0.5589509178186183,-1.2542229302266423,0.08951920762381937,0.44361184805242787,2.26732134903015,1.8131738480452606,NaN,NaN,Financial/Admin Services
624,Social assistance,0.3217484052440247,-1.3925067228480295,0.03722526674463992,0.4179716572790251,1.4743791356064337,1.7142551280920542,NaN,NaN,Education/Health
484,Truck transportation,0.9967547269550393,-0.6121162142219674,0.04256210247637276,0.620302674942461,308.14048190885325,1.6088709411770066,NaN,NaN,Transportation/Utilities
5412OP,"Miscellaneous professional, scientific, and technical services",0.6568964121421121,-0.9031019832841438,0.1248262641677746,0.5254579149112759,2.9145716786097733,1.559998395426256,NaN,NaN,Information/Services
5415,Computer systems design and related services,0.8953421122398888,-0.6393985636358956,0.00876519670457544,0.6099797951403453,9.554941547187761,1.5347406758757844,NaN,NaN,Information/Services
481,Air transportation,0.45411014544520756,-0.9949627588925641,0.11303386909964688,0.5012624900101474,1.8318713778177156,1.4490729043377717,NaN,NaN,Transportation/Utilities
111CA,Farms,0.4943903028828721,-0.9199413775899885,0.18960689736536765,0.5208492361653524,1.9778101680046363,1.4143316804728605,NaN,NaN,Primary/Construction
524,Insurance carriers and related activities,0.643813423991502,-0.7608170534187153,0.26317217632678586,0.567918170748318,2.8075173725136167,1.4046304774102172,NaN,NaN,Information/Services
322,Paper products,0.5305838613308035,-0.8600694543193454,0.18473270281671222,0.537614333528169,2.13030596441575,1.390653315650149,NaN,NaN,Manufacturing
23,Construction,0.9714665571189702,-0.3881851635515238,0.13917599143204476,0.7203649961519589,35.04659441797828,1.3596517206704941,NaN,NaN,Primary/Construction
562,Waste management and remediation services,0.5903579398063054,-0.7183868880522781,0.2776921799839761,0.5819411256876265,2.441155577450131,1.3087448278585834,NaN,NaN,Financial/Admin Services
337,Furniture and related products,0.3969887126659448,-0.9077238554359944,0.11019798103885364,0.5241848798768931,1.658343750779613,1.3047125681019391,NaN,NaN,Manufacturing
487OS,Other transportation and support activities,0.6002643697378823,-0.6948779549123971,0.08138341468838318,0.5900129841807322,2.5016534036364795,1.2951423246502793,NaN,NaN,Transportation/Utilities
