industry_code,industry_name,rmse_skill_premium,rmse_labor_share,rmse_wage_bill_ratio,rmse_labor_input_ratio,r2_skill_premium,r2_labor_share,r2_wage_bill_ratio,r2_labor_input_ratio,mae_skill_premium,mae_labor_share,mae_wage_bill_ratio,mae_labor_input_ratio,n_obs,converged
111CA,Farms,0.3111946375715521,0.12104195569124519,0.06322912346735683,3.6547580037413523e-17,-1.9938703821012438,-0.35533466618304743,0.7390539166147436,1.0,0.2501731367321444,0.09508210791182592,0.04645752828266731,2.5517222743400774e-17,32,true
113FF,"Forestry, fishing, and related activities",0.21539370828309043,0.032158884629122725,0.049215096015913555,3.594769625318757e-17,-1.9398389690230817,0.7266797507285907,-0.713871490440968,1.0,0.17314312833267054,0.026671690911302077,0.03860635400242431,2.5069552168955147e-17,32,true
211,Oil and gas extraction,0.2474394601558668,0.05336742305443529,0.11814827423286471,1.2412670766236366e-16,-0.04553436922574483,0.36840703903385186,0.9134014324064308,1.0,0.19135674539244604,0.043262575456912526,0.09686074162637717,8.774343259134301e-17,32,true
212,"Mining, except oil and gas",0.40841752332995784,0.1019659758154811,0.06252827267581207,3.3533484466016165e-17,-3.6085107320311316,0.0318817757041473,0.7161743284560589,1.0,0.3406517625044258,0.08980781920917272,0.052855858327009404,2.6412563892292032e-17,32,true
213,Support activities for mining,0.3919131063421096,0.23371205186627275,1.1157553467204195,5.915217512099459e-16,-25.942883011347323,-4.0506120846768106,-0.13895792783025573,1.0,0.3371805572442469,0.20242702819615002,0.9769180206986605,4.154382930855424e-16,32,true
22,Utilities,0.09923722577753104,0.019976882492498696,0.03726294594677846,9.137744913546592e-17,-0.13103058025364223,-0.056134555181551526,0.8342037211112527,1.0,0.0862553911267997,0.016491564678685715,0.032882928954780226,6.80459273157354e-17,32,true
23,Construction,0.050920015976869376,0.058438077525278714,0.00891354108682738,3.072990303391375e-17,-0.32800682311267315,-0.1038037632106592,0.9766358474004743,1.0,0.04495921327350749,0.04973222333793858,0.007882937692007898,2.5069552168955147e-17,32,true
321,Wood products,0.37171045905126493,0.07509642994999197,0.04163164194191582,2.797851554737692e-17,-0.26659949742445543,-0.0926071943244684,0.30038111091413433,1.0,0.2939726729651081,0.05473594908995814,0.032529944069241444,1.880216412671636e-17,32,true
327,Nonmetallic mineral products,0.18420464744195478,0.03957416444733492,0.04940544544425591,3.956759614216694e-17,-0.8988238777198962,0.614090419028021,0.5302456469946499,1.0,0.14439319028881795,0.03389389591906617,0.03661753158637448,2.954625791341142e-17,32,true
331,Primary metals,0.1869070765524877,0.07859062771722812,0.04089139498546939,3.893447375462976e-17,-1.772029577338813,0.48580712508845414,0.756134662410257,1.0,0.16758880818154095,0.06763080007682538,0.0353635701093324,2.954625791341142e-17,32,true
332,Fabricated metal products,0.23878996591947052,0.0370089387152721,0.059176971613424945,4.622943835421144e-17,-5.354893917334886,-1.2754047236440718,0.3504589954291276,1.0,0.1983901783255261,0.030994547682879833,0.047261361185770345,3.044159906230268e-17,32,true
333,Machinery,0.3049736706043722,0.03210198179848472,0.08968504882996407,7.172235881986807e-17,-6.520068181700098,0.575915442513713,0.7804268582448345,1.0,0.2610698816029106,0.026666736016861436,0.08381942627236233,5.461581008236657e-17,32,true
334,Computer and electronic products,1.0008854393280757,0.052902321086514485,1.433207061335194,2.944134386401299e-16,-52.23859624337304,0.4556740062246365,-3.500551067523232,1.0,0.9939348454346147,0.0380061536593129,1.3933115838854786,2.506955216895515e-16,32,true
335,"Electrical equipment, appliances, and components",0.37653056170332416,0.05627213246675637,0.4528075135852137,1.8056613789773516e-16,-25.81067775585287,-0.5638466520829606,0.5262390472891796,1.0,0.2879655411405198,0.043298240796484734,0.297819994476566,1.360918546314708e-16,32,true
3361MV,"Motor vehicles, bodies and trailers, and parts",0.1856709768833239,0.0701137198232188,0.053102359117422115,6.383977028007689e-17,-0.2932896320683789,0.4206427931959358,0.8472850824114656,1.0,0.16482444671680166,0.05082190965831019,0.04693099591305407,4.8348422040127785e-17,32,true
3364OT,Other transportation equipment,0.18258787180858155,0.13432752969738473,0.14950844027880805,1.607629849132838e-16,-1.0357939524715079,-1.768349107982723,0.8399006830282434,1.0,0.14688163493414733,0.120444784809796,0.11511007614535741,1.2534776084477575e-16,32,true
337,Furniture and related products,0.7095075436649586,0.04836984486693238,0.05163573949455294,1.8982499306403567e-17,-18.28836646827556,-0.5778078346894819,-0.6969902745924901,1.0,0.5896300160733826,0.039365209183175695,0.04516557127476805,1.4325458382260084e-17,32,true
339,Miscellaneous manufacturing,0.1939064087714686,0.06382667927905254,0.11564596351128618,1.5445607984615525e-16,-1.283855967254894,-2.222136054198473,0.8945011805324766,1.0,0.15812042307903626,0.05294325499038375,0.09628578616488208,1.1102230246251565e-16,32,true
311FT,Food and beverage and tobacco products,0.6164572545372843,0.1262538065009751,0.1623188193388212,5.5061660827656725e-17,-19.854839708496904,-16.69904262408074,-3.2887427122227333,1.0,0.49633108308318236,0.10010342553855461,0.13585303125583906,4.118569284899774e-17,32,true
